worker	brief_self_control_survey_2	brief_self_control_survey_3	brief_self_control_survey_4	brief_self_control_survey_5	brief_self_control_survey_6	brief_self_control_survey_7	brief_self_control_survey_8	brief_self_control_survey_9	brief_self_control_survey_10	brief_self_control_survey_11	brief_self_control_survey_12	brief_self_control_survey_13	brief_self_control_survey_14
s156	4.0	4.0	5.0	5.0	4.0	4.0	5.0	3.0	4.0	5.0	5.0	5.0	5.0
s161	3.0	2.0	2.0	1.0	3.0	2.0	2.0	2.0	3.0	3.0	4.0	3.0	4.0
s163	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s165	4.0	5.0	5.0	5.0	5.0	5.0	4.0	3.0	4.0	4.0	4.0	5.0	5.0
s168	4.0	4.0	3.0	3.0	3.0	2.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0
s170	5.0	4.0	4.0	4.0	4.0	4.0	1.0	5.0	3.0	3.0	5.0	5.0	5.0
s173	4.0	4.0	3.0	4.0	3.0	3.0	2.0	3.0	4.0	5.0	4.0	4.0	4.0
s179	4.0	3.0	1.0	5.0	4.0	4.0	2.0	1.0	4.0	3.0	5.0	4.0	5.0
s180	4.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s182	3.0	2.0	1.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0
s184	2.0	2.0	4.0	3.0	3.0	3.0	2.0	2.0	3.0	5.0	5.0	2.0	3.0
s186	4.0	5.0	4.0	5.0	4.0	3.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0
s187	4.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	4.0	3.0	2.0
s188	4.0	4.0	3.0	1.0	2.0	2.0	5.0	3.0	5.0	4.0	5.0	5.0	4.0
s190	4.0	4.0	4.0	5.0	4.0	4.0	4.0	3.0	5.0	5.0	5.0	5.0	5.0
s192	4.0	5.0	3.0	4.0	4.0	4.0	3.0	2.0	4.0	4.0	3.0	5.0	5.0
s196	4.0	4.0	4.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	4.0	3.0	2.0
s198	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s202	5.0	4.0	5.0	5.0	3.0	4.0	2.0	3.0	5.0	5.0	5.0	4.0	4.0
s205	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0
s206	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0
s207	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0
s208	1.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0
s209	4.0	3.0	5.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0
s210	3.0	3.0	5.0	3.0	2.0	2.0	3.0	3.0	4.0	5.0	5.0	3.0	4.0
s212	4.0	3.0	4.0	5.0	4.0	4.0	2.0	4.0	3.0	4.0	3.0	4.0	4.0
s216	2.0	1.0	4.0	5.0	4.0	2.0	1.0	1.0	5.0	4.0	3.0	2.0	4.0
s218	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s226	2.0	5.0	5.0	5.0	4.0	2.0	3.0	1.0	4.0	5.0	4.0	4.0	3.0
s228	2.0	2.0	2.0	4.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	5.0
s233	1.0	2.0	3.0	1.0	4.0	2.0	1.0	1.0	4.0	2.0	3.0	4.0	4.0
s237	3.0	3.0	4.0	2.0	2.0	3.0	2.0	2.0	2.0	4.0	3.0	2.0	3.0
s238	5.0	5.0	5.0	4.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0
s244	3.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	3.0	4.0	2.0	4.0	4.0
s246	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	4.0
s249	5.0	3.0	4.0	3.0	2.0	5.0	1.0	4.0	3.0	2.0	4.0	4.0	2.0
s252	3.0	4.0	4.0	2.0	3.0	1.0	2.0	2.0	3.0	4.0	5.0	3.0	5.0
s254	3.0	3.0	4.0	4.0	3.0	3.0	1.0	2.0	3.0	4.0	3.0	3.0	3.0
s259	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s262	4.0	4.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0
s264	3.0	4.0	4.0	5.0	3.0	4.0	3.0	4.0	4.0	3.0	2.0	4.0	3.0
s265	2.0	2.0	5.0	3.0	2.0	3.0	2.0	2.0	2.0	5.0	4.0	2.0	2.0
s269	4.0	4.0	4.0	2.0	2.0	2.0	3.0	3.0	3.0	4.0	4.0	3.0	2.0
s273	5.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0
s275	4.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0
s277	4.0	2.0	5.0	5.0	3.0	4.0	2.0	4.0	2.0	2.0	4.0	3.0	3.0
s284	4.0	3.0	3.0	4.0	4.0	3.0	2.0	3.0	3.0	4.0	3.0	4.0	5.0
s285	3.0	2.0	5.0	5.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	5.0	4.0
s286	5.0	5.0	5.0	5.0	4.0	5.0	1.0	5.0	5.0	5.0	5.0	5.0	5.0
s290	4.0	3.0	4.0	3.0	2.0	3.0	4.0	3.0	3.0	2.0	5.0	4.0	2.0
s291	3.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0
s293	3.0	1.0	4.0	3.0	4.0	3.0	3.0	2.0	4.0	2.0	3.0	4.0	3.0
s294	4.0	2.0	1.0	2.0	4.0	4.0	2.0	2.0	2.0	1.0	2.0	2.0	4.0
s295	4.0	4.0	4.0	2.0	3.0	4.0	3.0	2.0	4.0	5.0	5.0	3.0	4.0
