worker	dospert_eb_survey_2	dospert_eb_survey_3	dospert_eb_survey_4	dospert_eb_survey_5	dospert_eb_survey_6	dospert_eb_survey_7	dospert_eb_survey_8	dospert_eb_survey_9	dospert_eb_survey_10	dospert_eb_survey_11	dospert_eb_survey_12	dospert_eb_survey_13	dospert_eb_survey_14	dospert_eb_survey_15	dospert_eb_survey_16	dospert_eb_survey_17	dospert_eb_survey_18	dospert_eb_survey_19	dospert_eb_survey_20	dospert_eb_survey_21	dospert_eb_survey_22	dospert_eb_survey_23	dospert_eb_survey_24	dospert_eb_survey_25	dospert_eb_survey_26	dospert_eb_survey_27	dospert_eb_survey_28	dospert_eb_survey_29	dospert_eb_survey_30	dospert_eb_survey_31
s467	4.0	7.0	2.0	2.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	4.0	2.0	2.0	1.0	1.0	1.0	5.0	2.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0
s468	4.0	5.0	1.0	6.0	1.0	3.0	6.0	1.0	2.0	2.0	2.0	4.0	4.0	1.0	2.0	2.0	1.0	4.0	4.0	1.0	7.0	6.0	1.0	1.0	4.0	2.0	4.0	4.0	4.0	7.0
s469	5.0	7.0	1.0	4.0	2.0	3.0	4.0	1.0	1.0	1.0	2.0	3.0	4.0	1.0	1.0	1.0	1.0	4.0	4.0	2.0	6.0	3.0	1.0	2.0	2.0	1.0	3.0	5.0	4.0	7.0
s471	2.0	3.0	4.0	5.0	1.0	4.0	2.0	3.0	4.0	4.0	3.0	4.0	2.0	4.0	2.0	2.0	1.0	4.0	2.0	1.0	5.0	3.0	1.0	2.0	4.0	2.0	5.0	5.0	3.0	3.0
s473	4.0	5.0	2.0	4.0	2.0	3.0	2.0	2.0	3.0	1.0	1.0	4.0	2.0	2.0	3.0	1.0	1.0	4.0	2.0	1.0	5.0	2.0	1.0	3.0	3.0	1.0	5.0	2.0	3.0	1.0
s475	5.0	4.0	5.0	6.0	3.0	3.0	2.0	5.0	4.0	3.0	2.0	3.0	3.0	2.0	4.0	3.0	2.0	3.0	3.0	1.0	2.0	3.0	3.0	3.0	2.0	4.0	3.0	3.0	5.0	5.0
s477	1.0	2.0	1.0	3.0	1.0	4.0	4.0	2.0	2.0	4.0	1.0	2.0	1.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	7.0	4.0	1.0	1.0	4.0	1.0	7.0	1.0	1.0	4.0
s481	3.0	4.0	6.0	5.0	2.0	5.0	2.0	6.0	3.0	4.0	3.0	4.0	4.0	6.0	2.0	2.0	1.0	5.0	3.0	1.0	6.0	3.0	1.0	2.0	4.0	2.0	6.0	5.0	2.0	6.0
s483	1.0	2.0	4.0	4.0	1.0	1.0	1.0	4.0	1.0	2.0	1.0	4.0	1.0	4.0	1.0	1.0	1.0	3.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	4.0
s484	3.0	3.0	2.0	4.0	1.0	3.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	3.0	1.0	1.0	4.0	3.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	2.0
s488	4.0	6.0	2.0	5.0	4.0	3.0	4.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	5.0	1.0	1.0	2.0	1.0	1.0	4.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0
s489	1.0	3.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	2.0	1.0	6.0	1.0	1.0	2.0	3.0	1.0	7.0	7.0	1.0	5.0
s490	5.0	6.0	2.0	3.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	3.0	4.0	2.0	2.0	1.0	1.0	3.0	4.0	2.0	5.0	2.0	1.0	4.0	5.0	2.0	5.0	6.0	2.0	4.0
s491	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0
s492	5.0	5.0	1.0	1.0	1.0	1.0	4.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	3.0	2.0	1.0	1.0	4.0	1.0	4.0	4.0	1.0	1.0	2.0	1.0	2.0	3.0	1.0	7.0
s500	4.0	5.0	2.0	7.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	6.0	4.0	2.0	2.0	1.0	1.0	3.0	4.0	1.0	5.0	3.0	1.0	2.0	2.0	1.0	3.0	5.0	1.0	2.0
s501	3.0	4.0	3.0	3.0	1.0	3.0	5.0	3.0	1.0	2.0	1.0	3.0	2.0	3.0	1.0	1.0	1.0	3.0	2.0	1.0	6.0	5.0	2.0	1.0	3.0	2.0	5.0	6.0	1.0	5.0
s502	7.0	3.0	1.0	1.0	3.0	2.0	3.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	4.0	4.0	2.0	2.0	4.0	1.0	4.0	4.0	1.0	3.0
s503	4.0	5.0	2.0	3.0	2.0	1.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	6.0	4.0	1.0	2.0	2.0	1.0	3.0	4.0	1.0	2.0
s504	3.0	3.0	1.0	6.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	4.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	5.0	3.0	1.0	1.0	2.0	1.0	4.0	5.0	1.0	1.0
