index,Sensation Seeking,Mindfulness,Impulsivity,Emotional Control,Reward Sensitivity,Goal-Directedness,Risk Perception,Eating Control,Ethical Risk-Taking,Social Risk-Taking,Financial Risk-Taking,Agreeableness
s626,-0.37937528294603023,-0.36793675488793554,1.6988461462531232,0.3612253523521054,-1.256258869352582,-0.061979368058269875,0.15062855348471063,0.91526788141525,1.0980673348128953,-1.096854059302576,0.960301804828639,-1.1015147527894378
s627,0.03098507581770409,0.42576585666220124,-0.0877360528073157,1.2756683728037397,-0.08807593059919086,0.0695985423012254,-0.9836313842674852,-0.33285333529738054,0.009389213114959013,0.595936777823656,-0.2107708767053961,0.020346608472738673
s629,-0.4034135714713664,1.2123410443139007,-2.080319455910371,1.4237589378916315,-0.9410757396025413,0.2881246110255093,1.5704872753511563,-1.2730208033531434,-1.1574144522758094,-0.6353635914268336,-0.718056562580317,-0.03345872748174658
s631,1.566938695841652,-0.35274559527067284,1.2151545447014018,1.1150610011662243,1.6068602378622485,-1.029815436897958,-1.3987380996681118,0.01705748387205321,1.5360653994626687,0.8071085305164277,-0.6587893812139339,-0.6399761911725518
s633,-0.48481669779438175,1.2874209180239393,-0.5560453318204327,-1.0236580900977743,1.272406095287068,1.283547649190962,1.3328144586734842,-0.35087014571433667,-0.21473556369870678,0.30158695910982813,-0.42900134944185336,1.6392168168264771
s634,-0.21071694150321346,-1.1592378281546243,-0.01012306077745295,0.5500096223945333,0.708079247022696,-0.6224300540053688,-0.5610225366781214,0.08793281899045775,0.18023709554950842,0.25716298679345817,0.1373375468980617,0.686591322135049
s635,-1.0894634701865111,1.3837214147241867,-1.1470760734436949,0.07917066013153568,1.1988607721733726,1.4608107298475739,1.357624110825467,0.7266089911870458,-0.7932898168123478,-0.958871629383657,-0.17980163307593489,1.9136418062655665
s636,-0.3024927328638636,-0.040662072534528255,1.633627935501739,0.3303100959669689,-0.8153825324580409,0.20512830261944098,-1.2281337830489585,0.6250411755248345,-0.9401656939456311,-1.9915747078548967,0.4077923363361105,-0.9788262356930921
s637,0.8644096778994812,1.3801059212501452,-0.46676366406395103,-0.7041709184469858,0.08534204811947628,-0.4971160370181142,1.093535294723091,0.3549374944933562,-0.9287225728453636,0.49824821834767674,-0.366790187891516,-1.5080082649631887
s640,-0.42563063548481045,0.5335823206370026,0.06785522516258458,-1.1404669335263404,1.4069784198189486,0.6391523506540968,0.009326312591598093,0.7007303618271922,0.36053480742758176,1.8685139279470164,-0.05896250432856685,-1.513071479552629
s641,0.36878630686762937,1.073683732895933,-0.895945353106228,0.5747817191837639,-1.234526765320229,0.5741963841881165,-0.6088494763853823,-0.597482248553899,-0.8530795503325566,0.27205613343491075,-0.08262984648556627,-0.2103312634734019
s642,0.8378901259071121,-0.3262931623488657,0.07454301819479622,0.8643962905750566,0.5452881339720542,-0.050309020077144814,1.4316509408441622,0.1395848619415222,-0.40546836976466655,-0.7331401496905182,-0.30321539509926426,0.4086553970363042
s644,0.8507927385958013,-1.131765412212219,0.5841901488312905,-0.9774168895367337,2.3586049143388195,-0.5709173912168444,-0.8421809929189997,-0.6540646450751766,2.6770673222157395,0.49081394067434314,-0.2560741999921283,-0.28429762745729403
