,adaptive_n_back.hddm_drift,adaptive_n_back.hddm_drift_load,adaptive_n_back.hddm_non_decision,adaptive_n_back.hddm_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_coef_of_variation,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_coef_of_variation,attention_network_task.alerting_hddm_drift,attention_network_task.conflict_hddm_drift,attention_network_task.hddm_drift,attention_network_task.hddm_non_decision,attention_network_task.hddm_thresh,attention_network_task.orienting_hddm_drift,bickel_titrator.hyp_discount_rate_large.logTr,bickel_titrator.hyp_discount_rate_medium.logTr,bickel_titrator.hyp_discount_rate_small.logTr,choice_reaction_time.hddm_drift,choice_reaction_time.hddm_non_decision,choice_reaction_time.hddm_thresh,cognitive_reflection_survey.correct_proportion,cognitive_reflection_survey.intuitive_proportion,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.hddm_drift,directed_forgetting.hddm_non_decision,directed_forgetting.hddm_thresh,directed_forgetting.proactive_interference_hddm_drift,discount_titrate.percent_patient,dot_pattern_expectancy.AY-BY_hddm_drift,dot_pattern_expectancy.BX-BY_hddm_drift,dot_pattern_expectancy.bias,dot_pattern_expectancy.dprime,dot_pattern_expectancy.hddm_drift,dot_pattern_expectancy.hddm_non_decision,dot_pattern_expectancy.hddm_thresh,go_nogo.bias,go_nogo.dprime,hierarchical_rule.score,holt_laury_survey.beta,holt_laury_survey.risk_aversion,holt_laury_survey.safe_choices,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.hyp_discount_rate_large.logTr,kirby.hyp_discount_rate_medium.logTr,kirby.hyp_discount_rate_small.logTr,kirby.percent_patient,local_global_letter.conflict_hddm_drift,local_global_letter.global_bias_hddm_drift,local_global_letter.hddm_drift,local_global_letter.hddm_non_decision,local_global_letter.hddm_thresh,local_global_letter.switch_cost_hddm_drift,motor_selective_stop_signal.SSRT.logTr,motor_selective_stop_signal.hddm_drift,motor_selective_stop_signal.hddm_non_decision,motor_selective_stop_signal.hddm_thresh.logTr,motor_selective_stop_signal.proactive_control_hddm_drift,motor_selective_stop_signal.reactive_control_hddm_drift,probabilistic_selection.positive_learning_bias,psychological_refractory_period_two_choices.PRP_slope,ravens.score,recent_probes.hddm_drift,recent_probes.hddm_non_decision,recent_probes.hddm_thresh,recent_probes.proactive_interference_hddm_drift,shape_matching.hddm_drift,shape_matching.hddm_non_decision,shape_matching.hddm_thresh,shape_matching.stimulus_interference_hddm_drift,shift_task.acc,shift_task.learning_rate,shift_task.learning_to_learn,shift_task.model_beta,shift_task.model_decay,shift_task.model_learning_rate,simon.hddm_drift,simon.hddm_non_decision,simon.hddm_thresh,simon.simon_hddm_drift,simple_reaction_time.avg_rt,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.SSRT,stim_selective_stop_signal.hddm_drift,stim_selective_stop_signal.hddm_non_decision,stim_selective_stop_signal.hddm_thresh.logTr,stim_selective_stop_signal.reactive_control_hddm_drift,stop_signal.SSRT_high,stop_signal.SSRT_low,stop_signal.hddm_drift,stop_signal.hddm_non_decision,stop_signal.hddm_thresh.logTr,stop_signal.proactive_SSRT_speeding,stop_signal.proactive_slowing_hddm_drift,stop_signal.proactive_slowing_hddm_thresh,stroop.hddm_drift,stroop.hddm_non_decision,stroop.hddm_thresh,stroop.stroop_hddm_drift,threebytwo.cue_switch_cost_hddm_drift,threebytwo.hddm_drift,threebytwo.hddm_non_decision,threebytwo.hddm_thresh,threebytwo.task_switch_cost_hddm_drift,tower_of_london.avg_move_time,tower_of_london.num_extra_moves,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,two_stage_decision.model_based,two_stage_decision.model_free.logTr,writing_task.neutral_probability,writing_task.positive_probability
s581,2.552421605,-0.7684417253,0.30272845060000003,1.6002394976,1.8,35.0,13.8602042971,23.8095238095,6.3057041448,-0.5219145434,-0.8757279459,3.5730031427,0.44339192260000004,1.9059599304,-1.3288827546,-6.832046503084412,,,3.2811325845,0.2886113746,1.740047557,0.5,0.33333333330000003,8.625,0.10416666670000001,2.0,-0.006500000000000001,-5.5416666667,17.2083333333,0.282115869,2.0,-0.0017926113,-6.1148194794,0.4756631203,0.2858485551,7.0,8.7,1.1556113559,0.4407226893,2.1159801722,-0.3325469507,,-2.6237173995000003,-0.2741876285,0.4181320954,4.4838707464,2.8687968042,0.136846256,2.2440071725,-0.6859956848000001,2.3394684758,185.0,59.8991114415,0.8568707964000001,6.0,0.6282697678,0.0008329513000000001,0.7388426781,0.0011656960000000001,0.5555555556,,,,0.0,-0.9084115542000001,0.3064157221,2.7245903118,0.44840967130000003,2.5326815476,-0.6986198648,6.075346031088684,2.9205732236,0.2743094386,0.5065116559330596,-1.0251626545,-0.5215459051,,0.5528604288,15.0,1.4302131683,0.4970020067,2.0555707592,-0.256126668,3.1275373707,0.44776462040000004,2.1935177261,-1.0945569681,0.3573200993,0.0380593585,-0.0003022541,4.5038751293,0.6718223698,0.3035815083,3.0047859098,0.3116187905,1.3248934173,-0.7018795043,349.5,5.1,5.8,377.3333333333,2.3947212074,0.30494410710000003,0.2762829888104029,-0.8718120292,306.3333333333,350.6666666667,2.4392870134,0.24779521440000002,0.4814137904387862,44.3333333333,-0.3800941356,-0.3207720381,1.8119540443000002,0.3652864474,1.6133830981,-0.6507642759000001,-0.0259732758,1.5520359432,0.3403166221,1.7485069160000002,-0.2805398253,2477.4703703704,2.0,7.0,5324.75,,,0.1812172178,0.1974064382
s582,,,,,,20.9565217391,8.1267138661,16.2380952381,5.9825142031,,,,,,,,,,,,,,,,,,,,1.0,2.0816681710000002e-17,0.0,-1.431146868e-17,1.665334537e-16,-0.0184905889,-0.0067215446000000005,,,1.04371816,0.6276916845,2.1498804921,-0.35907241570000004,,,,,,,,,,,118.0,2.3916188301,0.3492235958,5.0,,,,,,,,,,-0.8835791757,0.0294775699,0.468541395,,1.6228073628000002,-0.3310034666,,,,,,,,0.2673124456,8.0,,,,,,,,,,,,,,,3.0107265099,0.32034220020000004,1.391412382,-0.5746722327,,,,,,,,,,,,,,,,,2.0167579552,0.3089091231,1.6845879805,-1.1640020493,,,,,,1698.7708333333,1.0,11.0,3360.6666666667,,,0.1147494946,0.4802941497
s583,2.6382994542000002,-0.770413255,0.322733898,2.0012831312,1.85,42.4347826087,10.8369153904,24.6818181818,2.398141416,-0.7227988383,-1.0428655891,3.352135099,0.4402284865,1.9688793009,-0.7557632609,-8.68023284470241,-9.023001423370445,-5.600954470099235,3.3093420389,0.3318628771,1.5755836567000001,0.1666666667,0.33333333330000003,9.3333333333,0.1,3.0,-0.0053333333000000005,-2.5833333333,9.75,0.0799877476,1.0,-0.00021686750000000002,-2.7542372881,-0.0954192556,0.6614470907000001,7.4,6.4,2.0861709587,0.6399812682,2.6900664904,-0.6248901011,0.5277777778,-0.7379051440000001,-0.4303002373,-0.7548590441,3.810416849,2.5742998103,0.28097174610000003,1.5832530362,-0.7017421781000001,4.5619233948,131.0,3.8594254336000002,0.1210723489,4.0,0.7130983829,0.0008199417,0.8978515625,0.0008217945,0.6388888889000001,-7.365900695568905,-7.365900695568905,-4.625581180301964,0.6296296296,-0.9748582814000001,-0.1990214462,2.06040534,0.5364721402,2.0409339444,-0.5409499865,5.625220152152979,,0.1574484535,,-2.1723560239,-0.18512574310000002,,0.4442910243,9.0,1.4668558354,0.6485142658,2.9353873776,-0.33019887070000004,3.1763400874,0.5518984876,1.879292918,-1.4310115111,0.4974874372,0.0529023598,-0.0008629447000000001,1.0,0.0,0.1,3.4745341601,0.2706611766,1.7447003336,-0.4139071029,373.5,6.1,5.6,275.6666666667,2.5002665514,,,-0.19083525010000002,274.3333333333,269.6666666667,3.5190901679,0.3314632998,1.078346475856079,-4.6666666667,-0.9332967388000001,-0.24932558100000002,3.3187404412,0.3266262338,2.2617423432,-0.8384603703,-0.12935952010000001,2.5411295836,0.3594669629,2.1965169802,-0.3329003841,2306.9166666667,1.0,10.0,3771.6666666667,0.9090306131,-1.2023617264757478,0.6300319284,0.3438783778
s584,1.4684486917,-0.6448995537000001,0.0547259109,1.6838846274,1.1,17.75,4.2349477693,12.0,5.027922036,-0.37922864370000003,-1.0660267602,2.6705567930000003,0.3162415948,2.1861976438,-1.2053455476,,-4.681905182674192,-2.963295335568176,2.3510387218,0.2458181254,1.4030806362,0.0,0.5,1.2916666667,0.054166666700000005,1.0,-0.0008333333,-0.2083333333,8.75,-0.0175357443,0.0,0.0002085786,0.7270815812,0.0270329484,0.5552037542,6.0,5.1,1.8730290243,0.3285188772,2.2671467175,-0.4228753906,0.47222222220000004,-5.0434104296,-1.8595781678,0.33223158610000003,4.6556717651,4.1404109058,0.181224337,2.0624871104,-1.1227206548,3.2129184158,98.0,0.6610047998,0.26651623210000003,6.0,0.6570756674,0.0011103506,0.8374984741,0.0020409226,0.1666666667,-6.449609932071972,-5.537595558952301,-6.449609932071972,0.5925925926,-0.8958463624,-0.0259203507,1.4838154943,0.1907285148,2.4336933779,-0.4599160856,,,,,,,0.3305607216,0.2251834866,4.0,0.3870985136,0.3072476939,1.8388457963,-0.6119671807,2.7345139823,0.4201807268,1.4439756315,-1.7782359922,0.4470284238,0.0234108202,0.0036154042,3.2914723568,0.7309029208000001,0.2383588992,1.9853397054,0.2324898316,1.5807393632,-0.36827033070000004,319.5,5.5,4.1,,,,,,,,,,,,,,2.2583305034,0.41966722900000003,2.5555886069,-0.8673823548,-0.1416807719,1.4693246115,0.32815579910000003,1.6208510678999999,-0.3561005217,2347.9259259259,4.0,9.0,3454.3333333333,,,0.19605831270000001,0.6431057075000001
s585,2.3314087849,-0.5932447569,0.0394715644,2.4642199513,2.05,41.0,13.9403491109,26.45,11.5689011442,-0.2842492222,-1.0687953623,4.1105333668,0.3557015662,1.9803426216000002,-1.1787762429,,,-3.430006853801638,4.0263074267,0.2323800809,1.3217176221,0.1666666667,0.5,12.9166666667,-0.0666666667,2.0,-0.0056666667000000006,-4.1666666667,15.375,-0.007605985000000001,2.0,-0.0051720698,-1.470074813,0.1590526195,0.5593448594,6.6,6.2,1.6314728077,0.3423864641,1.9773587477999999,-0.1708046672,0.0555555556,-1.5249583705,-1.1201523689,-0.5466407218,2.0708342658,1.6316507363000001,0.0939299094,1.6627088874,-1.2890129854999999,3.38738178,172.0,7.6113128603,0.3752535483,7.0,0.6226371527,0.0010361180000000002,0.6960192204,0.0012059392000000001,0.4444444444,,,-1.8444397271102142,0.037037037,-0.8800813935,0.2832325258,1.9294753692,0.31297226580000004,1.9207495885,-0.3286109507,5.4560331125399335,3.6807875977,0.2701970696,0.9051746519939494,-2.6682314129,-0.0943985172,,0.543566399,14.0,1.4229194386000001,0.3699046038,2.1596906404,-0.4191866161,3.840967377,0.3562531701,1.4895211237,-1.9407885042,0.3234567901,-0.0237794502,0.0013360459,,0.4738085641,0.0267407035,3.9356239314,0.2189469775,1.8880327392,-0.4813704983,278.5,6.3,5.0,239.8333333333,3.0096702042,0.3650456509,1.0202317160297119,-0.6557183922,235.1666666667,248.0,,0.41322713650000004,,12.8333333333,0.7979893317000001,,2.3806925716,0.2235339368,2.1664898003,-1.0647387731,-0.0615727176,2.0552876617,0.2791967426,1.7297216426,-0.2300021818,2086.0283333333,12.0,5.0,2078.0833333333,-0.1740909504,-2.049911356546786,0.7979128836,0.5455911633
s586,0.2772136388,-0.45833557020000004,0.0028496124,1.8137407842000002,1.05,48.3333333333,17.1241961925,28.2105263158,12.2591414751,-0.5477185307,-1.0747582422,2.7395867231,0.506906445,1.1328758787,-0.18577325120000002,,,,3.0532276292,0.31579288240000003,1.3428466752000001,0.6666666667000001,0.1666666667,,0.125,0.0,-0.0036666667,0.33333333330000003,25.0,0.09,0.0,0.0024000000000000002,-0.8,-0.10252688680000001,0.2265870372,6.0,7.6,-0.0806713641,0.2551659642,1.6969244393,-0.4733572254,,-3.4779606025,-0.4223962935,0.3026105264,2.463020036,1.3563829245,0.246721916,1.3596502473,-0.49628842630000003,2.4796963663,70.0,2.0529772385,0.11895549720000001,4.0,0.73863554,0.0009600917000000001,0.6728610516,0.0011783105,0.3888888889,,,,0.0,-0.5536119211,-0.0020702942,0.2532774722,0.2321909977,1.0758465423,-0.2607440547,,,,,,,,0.8724362745,4.0,0.013932886200000001,,2.3154646143,,,0.2840391956,1.7698482096,0.399216705,0.36516853930000004,0.0205627961,0.0020426416,5.6670264658,0.7889448028,0.1648734164,0.7569035914000001,,1.8568153842,-0.5005186627,310.0,4.2,4.6,384.6666666667,1.4831191931,0.2999834786,0.3270430324286706,-0.5896691729,288.0,314.5,1.9158135754,0.26746549010000004,0.34450691057820365,26.5,-0.4969780246,-0.0208028289,1.5147893294,,1.9099251669,-0.8373959732,-0.0459002275,0.26284374800000004,0.0072243704,1.7285463914,-0.1766111586,,-14.0,4.0,7148.5833333333,-0.5317785286,,0.1603592886,0.2839244543
s587,2.3171938786,-0.603603817,0.028646258900000002,2.5251230033,1.9500000000000002,15.407407407400001,3.7133776793,12.48,2.3295206946,-0.5775046091,-0.927998198,,0.3025092004,,-2.0864256928,-8.376360518130241,-5.210045387784136,-2.7278095674241594,3.5521392347000003,0.2643420295,1.8170125051000001,0.1666666667,0.5,2.1666666667,0.0083333333,2.0,-0.0046666667000000005,-0.75,3.375,0.006547619,0.0,0.0004285714,-0.1488095238,0.31659442720000003,0.6346177661,7.2,6.9,1.9756606005,0.49937489020000003,2.3834253177,-0.3356602796,0.2222222222,-1.4994759726,0.9662715994000001,0.0,5.3201349372,4.0966060724,0.1788919947,3.4089351732,-0.9575666758,4.0502743994,124.0,25.7627506452,0.3968411315,9.0,0.7544993401000001,0.0015507731000000001,0.6804098129,0.0013866652,0.47222222220000004,-3.664674886451777,-3.664674886451777,-2.748384152235016,0.2962962963,-0.8580967437,-0.4559101742,1.6944260732,0.38793431770000003,1.6847066521,-0.3192870722,5.62341564038512,3.6532710748,0.307138819,0.9869126207887698,-0.9050864613,-0.4638434675,-1.3798064529,0.7098967428,12.0,1.4287379454,0.4669829817,2.5150623198,-0.5403102313,3.6442407955,0.4759127245,1.8979728016,-1.4516581718000001,0.42195121950000003,0.06776422780000001,-0.0002264651,4.0486906292,0.6314700794,0.3634659313,3.222952195,0.3121471629,1.8176051596,-0.3617882619,323.5,5.5,5.1,239.8333333333,4.049788308,,,-0.4581728467,213.3333333333,253.1666666667,4.6911696089,0.3508526931,0.8403804072524463,39.8333333333,-1.437543415,0.0069502556,2.4118793339,0.33876780900000003,2.4185173423,-0.6048737221,-0.0929935124,1.7719871544,0.4046464897,2.0280419144,-0.32253109420000003,,-7.0,8.0,,-0.5838006395,,0.3642705517,0.3992635486
s588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0626954627,0.8291899447000001,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s589,2.4266880603,-0.4361270372,0.13741642880000002,2.0554350413,3.2,50.0,4.1028445417,26.7058823529,8.0059720356,-1.0935437789,-1.0158490027,2.468231213,0.36573498530000004,1.4821428447,-1.0903415598,-7.96974079277092,-6.7929640030681355,-5.752509160340435,3.9877559079,0.31468971560000003,1.4309710314,1.0,0.0,5.0833333333,0.1333333333,3.0,-0.0146666667,-2.1666666667,6.5,0.3780141844,3.0,-0.0142600473,-3.981678487,0.2021685788,0.7333377545,8.1,9.2,1.1997399772,0.5287648701000001,1.6760261371,-0.1362710952,0.3611111111,-0.5175061496,1.096633025,-0.42503709440000004,3.1507729495,2.077406181,0.0048497886,2.0904065973,-0.9304295772000001,2.8283362605,133.0,2.3916188301,0.3492235958,5.0,0.8382949829,0.0011184091000000001,0.9980468750000001,0.0015961272,0.7222222222,-6.449609932071972,-6.449609932071972,-4.625581180301964,0.5925925926,-1.0096432759,-0.1082399783,1.3449153926,0.3172708448,2.0147410413,-0.40921141990000004,5.8176070687262555,2.489380669,0.2057724481,0.6036829835015212,-1.1938703217,-0.5453009598,-5.2095510858,0.4537413153,17.0,1.7069365542,0.5172119313,1.8889888004,-0.5971859058,3.437905277,0.3111857223,2.3553400689,-2.1048368782,0.48019801980000004,0.0748202552,0.001137439,8.2844114234,0.5162754239,0.14830615020000001,2.5136650382,0.23701779580000001,1.6927180908000001,-0.6518140624000001,313.0,7.7,7.3,448.5,1.4798671993,,0.7787040301247523,-0.6102149176,287.1666666667,244.0,1.5819597872,,0.6600877248426059,-43.1666666667,-0.5441489113,-0.2173218747,2.0313121646,0.2530076133,1.9094298878,-0.8101568431,-0.12307512,1.6747389297000002,0.0175230463,2.6789386224,-0.2793978686,1997.6208333333,6.0,8.0,2234.3333333333,1.1243428257,-3.367744343653693,0.8436956752,0.6725318633
s590,,,,,,,,,,-0.5993808891,-0.9039153766,4.1496615438,0.2970094815,2.6340281880000003,-1.7039613488,,,,,,,0.5,0.5,1.1666666667,0.1,2.0,-0.0016666667,-0.75,,,,,,,,,,1.9673624200000002,0.4654854772,1.9951878474,-0.1727556111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s592,,,,,,15.0769230769,7.6572740680999996,9.6538461538,4.2326569215,,,,,,,,,,,,,,,8.75,-0.1166666667,2.0,,-2.0,,,,,,,,,,3.3269587132,0.3921468987,,-0.0440708276,,,,,,,,,,,,1.2928725743,0.0438060331,4.0,,,,,,,,,,-1.0458079724,0.1957032226,2.0008825984,0.3788660823,2.097476917,-0.432874087,,,,,,,,0.27866896750000003,,1.4745647194,0.4529328125,1.6587428131,-0.5057667592,,,,,,,,,,,,,,,340.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s593,2.587113761,-0.43299179860000003,0.044727114000000005,2.3628038026000002,3.45,26.380952381,4.587768417,16.5909090909,5.5175830708,-0.6645957612000001,-0.9955199082,2.9810946258,0.4451730195,1.2090629472,-0.4219790217,-8.61166487285859,-6.782264160406251,-3.8211616250551663,3.0231497458,0.1606396646,1.5639222073,1.0,0.0,4.5416666667,0.1625,2.0,-0.0138333333,-2.875,4.7916666667,0.0438095238,2.0,-0.0055809524,-1.9547619048,0.4722190465,0.8473190808000001,6.7,,0.8123263886000001,0.4527139779,1.8583878921,,0.2222222222,-2.2650643978,0.2850710239,0.4181320954,4.4838707464,3.1626647622,0.0124045458,2.6979287337,-1.2083775268,3.5486526974,210.0,7.6113128603,0.3752535483,7.0,0.5,,1.0,0.0017652447,0.6944444444,-4.625581180301964,-4.625581180301964,-2.748384152235016,0.37037037040000004,-0.7451443262,0.3148390928,1.7803002297,0.409607317,1.7145973922,-0.4705081082,5.82452409235233,2.9337261532000003,0.2901807909,0.43676364293311326,-0.7215922858,-0.1501599427,4.0087425577,0.3339012638,15.0,1.7181291345,0.5563121593,1.9507583676,-0.3869089845,2.4674867732,0.40824113100000003,1.5662872508999999,-1.3165902269,0.4058679707,0.0689762701,0.00014589680000000002,7.3051053628,0.5426659412,0.1835969567,3.7931678602,0.285460973,1.0793031218,-0.8999699554,283.5,6.3,6.0,249.1666666667,4.6552077981,0.3224691394,0.8981279598608369,-0.36639545160000003,265.3333333333,291.3333333333,2.7087889966,0.27936201320000004,0.17027584243898342,26.0,-0.1797090371,0.0095614819,2.2042169293000002,0.3266709467,1.5143309073,-1.206910428,-0.0834731714,2.6708824509999998,0.2818214871,1.6126429828000002,-0.3267207254,2311.5,-2.0,7.0,4718.25,0.3836361183,-1.8659582040236578,0.1221876321,
s594,2.6898692643,-0.5778644803,0.2167744962,1.2261444418,1.7000000000000002,,,,,-0.6612461517,-1.0945209401,3.2706915152000002,0.23626779550000002,1.5688010401999999,-1.9807965355000001,-7.193089443262118,-5.4356961279562,-2.4685912534670664,3.9748078277000003,0.2192304212,1.2258822096,0.8333333333,0.0,7.5833333333,0.0166666667,1.0,-0.0023333333,-3.0,14.6666666667,,2.0,-0.0017070707,,0.1394935688,0.8973930423,8.1,6.2,2.3547383870000003,0.3578923532,1.5419173076,-0.2967633955,0.1388888889,-5.1867993295,0.5410422159,0.33223158610000003,4.6556717651,5.4823941487,0.005978928200000001,2.4070107437,-0.9928100529,3.4727396196,190.0,7.6113128603,0.3752535483,7.0,0.6976028442000001,0.0013134144,0.7873829365,0.0013415844,0.6666666667000001,-3.664674886451777,-2.748384152235016,-2.748384152235016,0.2592592593,-1.2935588223,0.1137700496,2.9986955566,0.3169111637,1.6189693622,-0.43944568570000003,5.545177444479562,2.6260896451,0.2713588729,-0.0667704506802834,-1.1290212238,-0.2008534582,,0.2943590444,18.0,1.2570454299,0.33225492090000003,1.6631516137,-0.3228157822,2.3726032534,0.3531020975,1.0232069581,-2.2942520333,0.5123762376000001,0.0864794621,-0.0003358942,5.4581843103,0.483099357,0.2928522228,3.3371129953,0.22661773140000002,0.9293158344,-0.5775833892000001,258.5,8.2,7.1,266.0,2.423108616,0.25263892190000004,0.04477026375698916,-0.4252167535,268.5,244.1666666667,2.4113339198,0.2822410703,-0.010609530961825524,-24.3333333333,-0.0660837398,0.0405513239,2.1160304865,0.26650406800000004,1.1676244721,-1.0782782356,-0.13017873230000002,1.9213100954,0.2660356432,1.3044466152,-0.33429561900000004,1678.3416666667,13.0,8.0,2571.5,0.2968579146,-2.265917990415316,0.9084467919,0.22403748980000002
s595,2.4498848829,-0.5981800352000001,0.2106498152,1.9743977645,2.15,29.038461538500002,10.7869579372,16.3636363636,4.1120665011,-0.5743725105,-1.0100864183,3.3934085551,0.3148013008,1.5630767698999999,-0.5011025042,-9.150500057648472,-7.094383697002527,-10.69292098910783,3.3517723261,0.2613529839,1.2277086948,0.8333333333,0.1666666667,0.5416666667,0.0125,1.0,0.00016666670000000001,-0.375,2.125,0.009355828200000001,1.0,-0.0010937774000000001,-1.3113496933,0.28917636750000003,0.6725665403000001,6.7,6.3,2.0603355626,0.3331572398,2.4288438203,-0.5027985632,,-2.8876791005999998,-0.8494086812,0.4207109379,4.4787130615,3.2638879146,0.0787954721,2.2657182946,-1.3107727352,2.8368142551,162.0,59.8991114415,0.8568707964000001,6.0,0.8287109375,0.0014049716,1.0,0.0019021873000000002,0.6944444444,-7.365900695568905,-7.365900695568905,-6.449609932071972,0.7407407407000001,-0.6218349527,0.059135278000000006,2.7070544641,0.3396834814,,-0.4867013812,6.031085821051798,2.7770215113,0.2800875822,0.4894689354398625,-1.016675571,-0.2754321443,-4.1669331926,0.5482298379,18.0,1.6946878874,0.4683397852,2.3119982115,-0.502775086,2.418787039,0.40717624890000004,1.9991626476,-1.1648465402000001,0.5012345679,0.1151323516,0.0035720988,7.0526605201,0.4642792117,0.2156002139,2.7940278551,0.2758719296,1.1915737321,-0.5712045349,284.5,6.3,6.9,455.1666666667,1.9655435033000002,0.3069956499,0.23645081308738697,-0.7740419901000001,328.8333333333,322.0,2.2089915625,0.30357597210000004,0.28737300126920323,-6.8333333333,0.1553476851,0.24169786410000002,2.4742637905000002,0.36825487630000003,1.9784880939,-1.1189709353,-0.223257794,1.7352788737,0.3147043215,1.8738507505,-0.4305112545,1760.4074074074,-2.0,8.0,6356.8181818182,-0.4465891254,,0.6506626944,0.28770505080000003
s596,1.6872284477,-0.5663916552,0.038172706300000005,2.18381334,1.35,19.2727272727,7.9173216863,29.6666666667,15.9631929579,-0.5095022247000001,-1.0216944491,3.5849472905,0.3989617831,2.157521462,-0.6206837238,,-6.098223061733371,-5.29929440369342,4.6575854687,0.268221035,1.3845326539,0.6666666667000001,0.1666666667,6.75,0.1333333333,2.0,,-3.0,9.6666666667,0.055759599300000004,2.0,,-2.4745409015,0.2743607464,0.5524072794,8.5,6.2,2.6408914013,0.31010612390000003,2.2895619333,-0.1305026599,0.6111111111,-3.7722380484,-1.0164610146,0.33223158610000003,4.6556717651,3.7224851528,0.06827677060000001,2.8812607632000002,-0.6968457445,3.0769339562,185.0,25.7627506452,0.3968411315,9.0,0.9441162109000001,0.0011031466,0.9500000000000001,0.0009740240000000001,0.47222222220000004,,-4.625581180301964,-4.625581180301964,0.37037037040000004,-0.3988221375,-0.13043179530000001,0.12412895460000001,,1.3776786392,-0.275622391,5.83139359924875,2.3538360147,,0.927629180390612,-0.23710064660000002,-0.6365372348,-0.6271976382000001,0.5132702098,11.0,1.6284271455,0.4753946848,1.8946798254,-0.3803672273,1.9892495146,0.39834645630000004,1.6038397231000001,-1.1637193973,0.3524590164,0.0404971811,0.0018084224,2.646669937,0.4419907125,0.17051660700000001,2.6966396346,0.28794837,1.3760983236,-0.3248305194,338.0,5.6,5.2,333.1666666667,2.0157436314,0.34223202070000003,0.3583506952129458,-0.6196925467000001,116.5833333333,346.3333333333,2.5563432841,0.18211504010000001,0.6574279772317836,,-0.5930008950000001,-0.2113339991,2.5104954698,0.30652416400000004,2.1564553776,-1.1620580343,-0.0523041361,0.9701340957000001,0.0198390532,2.1494308166,-0.27819081290000003,2432.3666666667,-4.0,10.0,5453.5,-0.8697115321000001,,0.4305953518,0.3350592382
s597,2.3591028512,-0.6472568550000001,0.1450258875,1.6255851294,1.5,,,,,-0.2477245756,-0.9930866654,3.5776395388,0.36504888090000004,1.6770731784000001,-0.3129795718,-6.593367548305895,-6.533356572973305,-4.651541403170214,4.41072007,0.2398431749,1.650060345,1.0,0.0,3.8333333333,0.025,2.0,-0.014,-1.5,13.0833333333,0.0527380952,2.0,-0.0085095238,-2.455952381,-0.0410279348,0.7009785982000001,7.6,7.8,2.2116165314,0.4021887766,1.9402750937,-0.31060342620000003,0.1944444444,-4.2793589337,-1.0015878622,0.1910395678,4.9380558016,3.5074260557,0.1636192445,1.6670042882,-1.0170844173,3.9312389163,191.0,-31.6061405541,0.3994728374,2.0,0.5,,1.0,0.0011123861,0.5833333333,-5.553730190361736,-4.625581180301964,-3.664674886451777,0.4444444444,-1.3606195599,-0.1148237634,1.9193111577000002,0.3595453591,1.3561413308999999,-0.33611085620000003,5.819588248175467,3.6856570271,0.30565966,0.5281573003646166,-1.6706887567000002,-0.6816881687,-19.8106532044,0.4109635459,15.0,1.5263699785,0.4474102579,1.9298080509000002,-0.4377475696,2.8180998969,0.3879787349,2.0509781003,-0.6279157793,0.3830845771,0.0770464072,-0.0013807718,7.1520603186,0.6030937967000001,0.1396800453,2.6243921266,0.12623302490000002,1.8775750521,-0.5640263958,278.5,7.1,6.3,,,,,,173.5,242.0,3.0228184699,0.3301842997,0.4935852621827887,68.5,0.4714578002,0.4207534753,2.9809520255,0.3174943328,1.988865992,-1.2883607514,-0.1267299641,1.5593561834,0.3098841715,1.5296840635,-0.2906545396,2684.1,3.0,9.0,3957.25,0.2614817356,-2.6280035642056236,0.8223739102000001,0.22262613650000002
