,subj_idx,response,rt
adaptive_n_back_1_182,1,0.0,0.392
adaptive_n_back_1_184,1,1.0,0.415
adaptive_n_back_1_186,1,0.0,0.754
adaptive_n_back_1_188,1,1.0,0.372
adaptive_n_back_1_190,1,0.0,0.349
adaptive_n_back_1_192,1,1.0,0.536
adaptive_n_back_1_194,1,1.0,0.513
adaptive_n_back_1_196,1,1.0,0.625
adaptive_n_back_1_198,1,1.0,0.898
adaptive_n_back_1_200,1,1.0,0.379
adaptive_n_back_1_202,1,1.0,0.895
adaptive_n_back_1_206,1,1.0,0.396
adaptive_n_back_1_208,1,1.0,0.357
adaptive_n_back_1_210,1,1.0,0.32
adaptive_n_back_1_212,1,1.0,0.472
adaptive_n_back_1_214,1,1.0,0.452
adaptive_n_back_1_216,1,1.0,0.452
adaptive_n_back_1_218,1,1.0,0.381
adaptive_n_back_1_220,1,1.0,0.542
adaptive_n_back_1_222,1,1.0,0.576
adaptive_n_back_1_224,1,1.0,0.595
adaptive_n_back_1_226,1,1.0,0.693
adaptive_n_back_1_228,1,1.0,0.438
adaptive_n_back_1_230,1,1.0,0.423
adaptive_n_back_1_232,1,1.0,0.416
adaptive_n_back_1_234,1,1.0,0.401
adaptive_n_back_1_236,1,1.0,0.396
adaptive_n_back_1_238,1,1.0,0.477
adaptive_n_back_1_240,1,1.0,0.47
adaptive_n_back_1_242,1,1.0,0.526
adaptive_n_back_1_244,1,1.0,0.375
adaptive_n_back_1_246,1,1.0,0.418
adaptive_n_back_1_248,1,1.0,0.473
adaptive_n_back_1_300,1,0.0,0.413
adaptive_n_back_1_302,1,1.0,0.35
adaptive_n_back_1_304,1,1.0,0.494
adaptive_n_back_1_306,1,1.0,0.383
adaptive_n_back_1_308,1,0.0,0.455
adaptive_n_back_1_310,1,1.0,0.471
adaptive_n_back_1_312,1,1.0,0.415
adaptive_n_back_1_314,1,0.0,0.512
adaptive_n_back_1_316,1,1.0,0.465
adaptive_n_back_1_318,1,1.0,0.321
adaptive_n_back_1_320,1,1.0,0.424
adaptive_n_back_1_322,1,1.0,0.394
adaptive_n_back_1_324,1,1.0,0.433
adaptive_n_back_1_326,1,1.0,0.568
adaptive_n_back_1_328,1,0.0,0.424
adaptive_n_back_1_330,1,0.0,0.585
adaptive_n_back_1_332,1,1.0,0.425
adaptive_n_back_1_334,1,0.0,0.311
adaptive_n_back_1_336,1,1.0,0.526
adaptive_n_back_1_338,1,1.0,0.43
adaptive_n_back_1_340,1,0.0,0.366
adaptive_n_back_1_342,1,0.0,0.527
adaptive_n_back_1_526,1,1.0,0.516
adaptive_n_back_1_528,1,1.0,0.401
adaptive_n_back_1_530,1,1.0,0.71
adaptive_n_back_1_532,1,0.0,0.597
adaptive_n_back_1_534,1,1.0,0.621
adaptive_n_back_1_536,1,0.0,0.54
adaptive_n_back_1_538,1,0.0,0.41
adaptive_n_back_1_540,1,0.0,0.335
adaptive_n_back_1_542,1,0.0,0.556
adaptive_n_back_1_544,1,1.0,0.416
adaptive_n_back_1_546,1,0.0,0.486
adaptive_n_back_1_548,1,0.0,0.443
adaptive_n_back_1_550,1,0.0,0.487
adaptive_n_back_1_552,1,0.0,0.38
adaptive_n_back_1_554,1,1.0,0.056
adaptive_n_back_1_556,1,1.0,0.957
adaptive_n_back_1_558,1,0.0,1.947
adaptive_n_back_1_560,1,1.0,1.132
adaptive_n_back_1_562,1,1.0,0.187
adaptive_n_back_1_564,1,1.0,0.081
adaptive_n_back_1_614,1,1.0,0.651
adaptive_n_back_1_616,1,1.0,0.422
adaptive_n_back_1_618,1,1.0,0.385
adaptive_n_back_1_620,1,1.0,0.413
adaptive_n_back_1_622,1,1.0,0.6
adaptive_n_back_1_624,1,1.0,0.798
adaptive_n_back_1_626,1,0.0,0.473
adaptive_n_back_1_628,1,0.0,1.021
adaptive_n_back_1_630,1,1.0,0.4
adaptive_n_back_1_632,1,1.0,0.598
adaptive_n_back_1_634,1,1.0,0.33
adaptive_n_back_1_636,1,1.0,0.485
adaptive_n_back_1_638,1,1.0,0.473
adaptive_n_back_1_640,1,1.0,0.477
adaptive_n_back_1_642,1,1.0,0.442
adaptive_n_back_1_644,1,1.0,0.501
adaptive_n_back_1_646,1,0.0,0.507
adaptive_n_back_1_648,1,0.0,0.372
adaptive_n_back_1_650,1,0.0,0.591
adaptive_n_back_1_652,1,1.0,0.578
adaptive_n_back_1_654,1,1.0,0.366
adaptive_n_back_1_658,1,0.0,0.423
adaptive_n_back_1_660,1,0.0,0.434
adaptive_n_back_1_662,1,1.0,0.421
adaptive_n_back_1_664,1,1.0,0.44
adaptive_n_back_1_666,1,1.0,0.508
adaptive_n_back_1_668,1,1.0,0.598
adaptive_n_back_1_670,1,1.0,0.424
adaptive_n_back_1_672,1,1.0,0.508
adaptive_n_back_1_674,1,1.0,0.479
adaptive_n_back_1_676,1,1.0,0.41
adaptive_n_back_1_678,1,1.0,0.391
adaptive_n_back_1_680,1,1.0,0.654
adaptive_n_back_1_682,1,1.0,0.423
adaptive_n_back_1_684,1,1.0,0.403
adaptive_n_back_1_686,1,1.0,0.415
adaptive_n_back_1_688,1,1.0,0.395
adaptive_n_back_1_690,1,0.0,0.389
adaptive_n_back_1_692,1,1.0,0.386
adaptive_n_back_1_694,1,1.0,0.595
adaptive_n_back_1_696,1,1.0,0.453
adaptive_n_back_1_698,1,1.0,0.537
adaptive_n_back_1_700,1,1.0,0.523
adaptive_n_back_1_804,1,1.0,0.785
adaptive_n_back_1_806,1,1.0,0.402
adaptive_n_back_1_808,1,1.0,0.444
adaptive_n_back_1_810,1,1.0,0.432
adaptive_n_back_1_812,1,1.0,0.354
adaptive_n_back_1_814,1,1.0,0.424
adaptive_n_back_1_816,1,1.0,0.353
adaptive_n_back_1_818,1,1.0,0.421
adaptive_n_back_1_820,1,1.0,0.614
adaptive_n_back_1_822,1,1.0,0.375
adaptive_n_back_1_824,1,1.0,0.432
adaptive_n_back_1_826,1,1.0,0.531
adaptive_n_back_1_828,1,1.0,0.436
adaptive_n_back_1_830,1,0.0,0.68
adaptive_n_back_1_832,1,1.0,0.365
adaptive_n_back_1_834,1,1.0,0.43
adaptive_n_back_1_836,1,0.0,0.594
adaptive_n_back_1_838,1,0.0,0.461
adaptive_n_back_1_840,1,1.0,0.581
adaptive_n_back_1_842,1,1.0,0.536
adaptive_n_back_1_846,1,1.0,1.059
adaptive_n_back_1_848,1,1.0,0.453
adaptive_n_back_1_850,1,1.0,0.39
adaptive_n_back_1_852,1,0.0,0.432
adaptive_n_back_1_854,1,0.0,0.362
adaptive_n_back_1_856,1,0.0,0.379
adaptive_n_back_1_858,1,1.0,0.39
adaptive_n_back_1_860,1,1.0,0.457
adaptive_n_back_1_862,1,0.0,0.445
adaptive_n_back_1_864,1,1.0,0.494
adaptive_n_back_1_866,1,1.0,0.493
adaptive_n_back_1_868,1,1.0,0.392
adaptive_n_back_1_870,1,0.0,0.457
adaptive_n_back_1_872,1,1.0,0.347
adaptive_n_back_1_874,1,1.0,0.464
adaptive_n_back_1_876,1,1.0,0.392
adaptive_n_back_1_878,1,1.0,0.337
adaptive_n_back_1_880,1,1.0,0.439
adaptive_n_back_1_882,1,1.0,0.426
adaptive_n_back_1_884,1,1.0,0.431
adaptive_n_back_1_886,1,1.0,0.417
adaptive_n_back_1_888,1,1.0,0.371
adaptive_n_back_1_894,1,1.0,1.053
adaptive_n_back_1_896,1,0.0,0.499
adaptive_n_back_1_898,1,1.0,0.577
adaptive_n_back_1_900,1,1.0,0.426
