Variable Name,Short Name
kirby.percent_patient_medium,KRBPCTPM
kirby.percent_patient_small,KRBPCTPS
kirby.warnings,KRBWARN
keep_track.score,KTTSCOR
leisure_time_activity_survey.activity_level,LCATACTL
local_global_letter.acc,LOGAC
local_global_letter.avg_rt,LOGAVRT
local_global_letter.avg_rt_error,LOGAVRTE
local_global_letter.congruent_facilitation_acc,LOGCFCAC
local_global_letter.congruent_facilitation_rt,LOGCFCRT
local_global_letter.congruency_seq_acc,LOGCGSAC
local_global_letter.congruency_seq_rt,LOGCGSRT
local_global_letter.conflict_acc,LOGCONAC
local_global_letter.conflict_rt,LOGCONRT
local_global_letter.conflict_EZ_drift,LOGCONZD
local_global_letter.conflict_EZ_non_decision,LOGCONZN
local_global_letter.conflict_EZ_thresh,LOGCONZT
local_global_letter.std_rt,LOGDRT
local_global_letter.std_rt_error,LOGDRTE
local_global_letter.incongruent_harm_acc,LOGICHAC
local_global_letter.incongruent_harm_rt,LOGICHRT
local_global_letter.missed_percent,LOGMSPRC
local_global_letter.post_error_slowing,LOGPES
local_global_letter.switch_cost_acc,LOGSWCAC
local_global_letter.switch_cost_rt,LOGSWCRT
local_global_letter.switch_cost_EZ_drift,LOGSWCZD
local_global_letter.switch_cost_EZ_non_decision,LOGSWCZN
local_global_letter.switch_cost_EZ_thresh,LOGSWCZT
local_global_letter.EZ_drift_congruent,LOGZDCG
local_global_letter.EZ_drift_incongruent,LOGZDINC
local_global_letter.EZ_drift_neutral,LOGZDNEU
local_global_letter.EZ_drift_stay,LOGZDSTY
local_global_letter.EZ_drift_switch,LOGZDSWT
local_global_letter.EZ_non_decision_congruent,LOGZNCG
local_global_letter.EZ_non_decision_incongruent,LOGZNINC
local_global_letter.EZ_non_decision_neutral,LOGZNNEU
local_global_letter.EZ_non_decision_stay,LOGZNSTY
local_global_letter.EZ_non_decision_switch,LOGZNSWT
local_global_letter.EZ_thresh_congruent,LOGZTCG
local_global_letter.EZ_thresh_incongruent,LOGZTINC
local_global_letter.EZ_thresh_neutral,LOGZTNEU
local_global_letter.EZ_thresh_stay,LOGZTSTY
local_global_letter.EZ_thresh_switch,LOGZTSWT
mindful_attention_awareness_survey.mindfulness,MAASMIND
mpq_control_survey.control,MPQCOTR
adaptive_n_back.acc,NBAC
adaptive_n_back.avg_rt,NBAVRT
adaptive_n_back.avg_rt_error,NBAVRTE
adaptive_n_back.std_rt,NBDRT
adaptive_n_back.std_rt_error,NBDRTE
adaptive_n_back.mean_load,NBMEANLD
adaptive_n_back.missed_percent,NBMSPRC
adaptive_n_back.post_error_slowing,NBPES
adaptive_n_back.EZ_drift,NBZD
adaptive_n_back.EZ_non_decision,NBZN
adaptive_n_back.EZ_thresh,NBZT
probabilistic_selection.missed_percent,PRSMSPRC
probabilistic_selection.negative_acc,PRSNEGAC
probabilistic_selection.overall_test_acc,PRSOVTAC
probabilistic_selection.positive_acc,PRSPOSAC
probabilistic_selection.positive_learning_bias,PRSPLB
probabilistic_selection.reg_positive_learning_bias,PRSRPLB
probabilistic_selection.reg_value_sensitivity,PRSRVS
psychological_refractory_period_two_choices.missed_percent,PRPMSPRC
psychological_refractory_period_two_choices.PRP_slope,PRPSLOPE
psychological_refractory_period_two_choices.PRP_slowing,PRPSLOW
psychological_refractory_period_two_choices.task1_acc,PRPTAOAC
psychological_refractory_period_two_choices.task2_acc,PRPTATAC
recent_probes.acc,REPAC
recent_probes.avg_rt,REPAVRT
recent_probes.avg_rt_error,REPAVRTE
recent_probes.std_rt,REPDRT
recent_probes.std_rt_error,REPDRTE
recent_probes.missed_percent,REPMSPRC
recent_probes.post_error_slowing,REPPES
recent_probes.proactive_interference_acc,REPPINAC
recent_probes.proactive_interference_rt,REPPINRT
recent_probes.proactive_interference_EZ_drift,REPPINZD
recent_probes.proactive_interference_EZ_thresh,REPPINZT
recent_probes.proactive_interference_EZ_non_decision,REPPINZN
recent_probes.EZ_drift_xrec,REPXZD
recent_probes.EZ_drift_xrec,REPXZT
recent_probes.EZ_drift_xrec,REPXZN
recent_probes.EZ_drift_rec_neg,REPRNGZD
recent_probes.EZ_non_decision_rec_neg,REPRNGZN
recent_probes.EZ_thresh_rec_neg,REPRNGZT
recent_probes.EZ_drift_rec_pos,REPRPSZD
recent_probes.EZ_non_decision_rec_pos,REPRPSZN
recent_probes.EZ_thresh_rec_pos,REPRPSZT
recent_probes.EZ_drift_xrec_pos,REPXPSZD
recent_probes.EZ_non_decision_xrec_pos,REPXPSZN
recent_probes.EZ_thresh_xrec_pos,REPXPSZT
recent_probes.EZ_drift_xrec_neg,REPXNGZD
recent_probes.EZ_non_decision_xrec_neg,REPXNGZN
recent_probes.EZ_thresh_xrec_neg,REPXNGZT
ravens.score,RPMSCOR
simon.acc,SIMAC
simon.avg_rt,SIMAVRT
simon.avg_rt_error,SIMAVRTE
simon.congruency_seq_acc,SIMCGSAC
simon.congruency_seq_rt,SIMCGSRT
simon.conflict_EZ_drift,SIMCONZD
simon.conflict_EZ_non_decision,SIMCONZN
simon.conflict_EZ_thresh,SIMCONZT
simon.std_rt,SIMDRT
simon.std_rt_error,SIMDRTE
simon.missed_percent,SIMMSPRC
simon.post_error_slowing,SIMPES
simon.simon_acc,SIMSIMAC
simon.simon_rt,SIMSIMRT
simon.simon_EZ_drift,SIMSIMZD
simon.simon_EZ_thresh,SIMSIMZT
simon.simon_EZ_non_decision,SIMSIMZN
simon.EZ_drift_congruent,SIMCGZD
simon.EZ_non_decision_congruent,SIMCGZN
simon.EZ_thresh_congruent,SIMCGZT
simon.EZ_drift_incongruent,SIMINCZD
simon.EZ_non_decision_incongruent,SIMINCZN
simon.EZ_thresh_incongruent,SIMINCZT
spatial_span.forward_span,SPSFORWD
spatial_span.reverse_span,SPSREVRS
simple_reaction_time.avg_rt,SRTAVRT
simple_reaction_time.std_rt,SRTDRT
simple_reaction_time.missed_percent,SRTMSPRC
stop_signal.go_acc,SSGAC
stop_signal.go_rt_std,SSGDRT
stop_signal.go_rt_std_error,SSGDRTE
stop_signal.go_rt,SSGRT
stop_signal.go_rt_error,SSGRTE
stop_signal.stop_acc,SSPAC
stop_signal.proactive_slowing,SSPAS
stop_signal.proactive_SSRT_speeding,SSPASS
stop_signal.stop_rt_error_std,SSPDRTE
stop_signal.stop_rt_error,SSPRTE
selection_optimization_compensation_survey.compensation,SOCSCOM
selection_optimization_compensation_survey.elective_selection,SOCSELSE
selection_optimization_compensation_survey.loss-based_selection,SOCSLBSE
selection_optimization_compensation_survey.optimization,SOCSOPT
self_regulation_survey.control,SSRQCOTR
sensation_seeking_survey.boredom_susceptibility,SSSBORED
sensation_seeking_survey.disinhibition,SSSDISIN
sensation_seeking_survey.experience_seeking,SSSEXPSK
shift_task.acc,SHFTAC
shift_task.avg_rt,SHFTAVRT
shift_task.missed_percent,SHFTMSPR
shift_task.std_rt,SHFTDRT
shift_task.learning_rate,SHFTAC
shift_task.post_error_slowing,SHFTPES
stop_signal.SSRT,SSSSRT
stop_signal.SSRT_high,SSSSRTHI
stop_signal.SSRT_low,SSSSRTLO
stop_signal.SS_delay,SSSSSDLY
